date	url	title	company	reason	replacement_url	job_id
2026-06-02	https://www.designhotels.com/about/careers/director-brand-portfolio-greater-china	Director, Brand Portfolio - Greater China	Design Hotels	link_check_http_403_use_marriott_official_page	https://careers.marriott.com/zh-cn/director-brand-portfolio-greater-china-design-hotels/job/7915FD629684CA0E2A389344D66EFC58	j_0307db3223b0
2026-06-02	https://job-boards.greenhouse.io/aninebing/jobs/5038032008	Marketing Manager, China	ANINE BING	official_greenhouse_redirects_to_job_board_without_selected_china_role		j_4e7304d6ceee
2026-06-03	https://job-boards.greenhouse.io/scopely/jobs/5076084008	Senior Recruiter (One-year Contractor)	Scopely	direct URL redirects to general jobs page without selected role		j_05dfec57e6f2
2026-06-03	https://jobs.smartrecruiters.com/SegulaTechnologies/744000112697437-supplier-development-sourcing-assistant-manager-china-	Supplier Development & Sourcing – Assistant Manager (China)	Segula Technologies	user reported this job has expired		j_e1fef133630a
2026-06-03	https://jobs.lever.co/hypebeast/dfb19121-9f63-4fd4-9808-17f5b94bdf60	Senior Account Manager	Hypebeast	http_404		j_056307dfddae
2026-06-03	https://jobs.smartrecruiters.com/BoschGroup/744000112042317-product-manager-for-battery-ma	Product Manager for Battery _ MA	Bosch Group	link_check_possible_expired_marker		j_2a6a4396b9b2
2026-06-03	https://jobs.smartrecruiters.com/BoschGroup/744000096763025--logistics-digital-analytics-specialist-coordinator-pt	物流数字化分析师/Logistics Digital Analytics Specialist & Coordinator_PT	Bosch Group	link_check_possible_expired_marker		j_eaf5a5925f22
2026-06-04	https://jobs.smartrecruiters.com/TeamworkCorporate/744000082436899-business-development-manager-m-f-	Business Development Manager (M/F)	Teamwork Corporate	link_check_possible_expired_marker		j_db421d0a8615
2026-06-05	https://jobs.smartrecruiters.com/LVMH2/744000120855446-business-analyst-tr-apac-	Business Analyst, TR APAC	Guerlain	page shows job expired during 2026-06-05 recheck		j_196af4435764
2026-06-05	https://jobs.smartrecruiters.com/NielsenIQ/744000103198035-analyst-customer-success	Analyst, Customer Success	NielsenIQ	page shows job expired during 2026-06-05 recheck		j_98f917ed9d3d
2026-06-05	https://jobs.aumovio.com/es/detail-page/job-detail/REF83009L-p-02ebd7df2250c653d947d840d91ec5fb/scm-performance-value-chain-manager-apac	SCM Performance Value Chain Manager APAC	AUMOVIO	direct detail link unstable during 2026-06-05 recheck		j_182be7f69d65
2026-06-05	https://jobs.smartrecruiters.com/AristaNetworks/744000111451061-logistics-coordinator-apac-service-operations-	Logistics Coordinator (APAC Service Operations)	Arista Networks	user reported link expired/unavailable on 2026-06-05		j_87b51a22ff50
2026-06-05	https://jobs.smartrecruiters.com/AbercrombieAndFitchCo/744000106762238-assistant-manager-tmall-jd	Assistant Manager, Tmall & JD	Abercrombie and Fitch Co.	link_check_possible_expired_marker		j_af7eb0a0ce8c
2026-06-05	https://job-boards.greenhouse.io/casetify/jobs/5783745004	Senior Growth Marketing Associate - Shenzhen	CASETiFY	link_check_redirected_to_jobs_landing		j_9cf94660c379
2026-06-05	https://careers.dyson.com/en-gb/job-description/media-campaign-content-manager/JR34948	Media Campaign & Content Manager	Dyson	link_check_http_404		j_ce7f80ad6518
2026-06-05	https://careers.kraftheinz.com/job/22519932/cmi-assistant-manager-shanghai-cn	CMI Assistant Manager	Kraft Heinz	link_check_redirected_to_careers_home		j_b189a1c83561
2026-06-05	https://careers.kraftheinz.com/job/22913005/content-hub-manager-shanghai-cn	Content Hub Manager	Kraft Heinz	link_check_redirected_to_careers_home		j_fe2bb507b204
2026-06-05	https://careers.kraftheinz.com/job/22071754/marketing-excellence-strategy-manager-shanghai-cn	Marketing Excellence & Strategy Manager	Kraft Heinz	link_check_redirected_to_careers_home		j_be1e532c5fa4
2026-06-05	https://job-boards.greenhouse.io/casetify/jobs/5832860004	Assistant Marketing Manager/ Senior Marketing Associate	CASETiFY	redirected_to_greenhouse_error_page		j_c6355316f110
2026-06-05	https://job-boards.greenhouse.io/casetify/jobs/5839050004	Senior Marketing Associate (Co-Lab)	CASETiFY	redirected_to_greenhouse_error_page		j_a3581c7208ab
2026-06-05	https://job-boards.greenhouse.io/casetify/jobs/5819621004	(Senior) Influencer Marketing Manager	CASETiFY	redirected_to_greenhouse_error_page		j_5c48bfa716e3
2026-06-05	https://job-boards.greenhouse.io/casetify/jobs/5791406004	Integrated Marketing Manager, Travel	CASETiFY	redirected_to_greenhouse_error_page		j_84e8f7e71d3e
2026-06-05	https://job-boards.greenhouse.io/fender/jobs/7076380?gh_jid=7076380	Assistant Social Media Manager	Fender	redirected_to_company_careers_home		j_a52ec98cffb8
2026-06-05	https://job-boards.greenhouse.io/authenticbrandsgroup/jobs/5799923004	Coordinator, PR & Corporate Communications	Authentic Brands Group	redirected_to_greenhouse_error_page		j_76f239f29f19
2026-06-05	https://careers.nike.com/specialist-ii-city-marketing-sportswear-shanghai-gsh-gby-gc/job/R-79831	Specialist II, City Marketing, Sportswear, Shanghai, GSH & GBY GC	Nike	link_check_http_404		j_44f2dd3e34df
2026-06-05	https://careers.nike.com/lead-digital-marketing-gc-converse/job/R-80853	Lead, Digital Marketing GC - Converse	Converse	link_check_http_404		j_6d3bebece007
2026-06-05	https://jobs.lever.co/brooksrunning/af2416ce-ce62-4adc-a737-c0e084be293c	Assistant Merchandising Manager, APLA	Brooks Running	link_check_http_404		j_726827a7f101
2026-06-05	https://jobs.lever.co/elfbeauty/c999e8a0-524a-4b8c-a978-7a4be968a3fa	Associate Manager, Beauty Tools Development	e.l.f. Beauty	link_check_http_404		j_b8e9642e6a35
2026-06-05	https://careers.coca-colacompany.com/job/22443275/manager-brand-management-cctm-uplift-shanghai-cn	Manager, Brand Management, CCTM Uplift	Coca-Cola	link_check_http_404		j_81a6b42087f8
2026-06-05	https://careers.coca-colacompany.com/job/23115788/senior-manager-brand-management-fanta-schweppes-shanghai-cn	Senior Manager, Brand Management, Fanta & Schweppes	Coca-Cola	link_check_http_404		j_d78fdebd66b4
2026-06-05	https://careers.coca-colacompany.com/job/23274536/manager-marketing-capability-and-internal-communications-shanghai-cn	Manager, Marketing Capability and Internal Communications	Coca-Cola	link_check_http_404		j_c8338d311b29
2026-06-05	https://careers.coca-colacompany.com/job/23265398/manager-imx-customer-marketing-immediate-consumption-shanghai-cn	Manager, IMX - Customer Marketing, Immediate Consumption	Coca-Cola	link_check_possible_captcha_marker		j_80dc22d67db0
2026-06-05	https://jobs.smartrecruiters.com/Fastmarkets/744000100093451-pricing-operations-specialist-ftc-12-months-	Pricing Operations Specialist (FTC - 12 months)	Fastmarkets	job has expired		j_22ed909a335f
2026-06-05	https://jobs.smartrecruiters.com/Aumovio/744000100564777-project-manager-china-digital-operations	Project Manager - China Digital Operations	Aumovio	job has expired		j_c48309cf9c0a
2026-06-05	https://jobs.smartrecruiters.com/InterIKEAGroup/744000091761225-customs-operations-specialist	Customs Operations Specialist	Inter IKEA Group	job has expired		j_f46e3d56872a
2026-06-05	https://jobs.lever.co/veeva/fb12d5cd-5bb1-4154-ae5d-78a34e54d1e5	Customer Success Manager - Clinical Operation	Veeva Systems	404		j_6fceee8d1f4a
2026-06-05	https://jobs.smartrecruiters.com/ApprovalMaxLimited/744000105070645-customer-success-manager-apac-	Customer Success Manager (APAC)	ApprovalMax Limited	http 400		j_5ff16c0031f2
2026-06-05	https://jobs.smartrecruiters.com/UmdaschGroup/744000099468724-supplier-quality-manager-china	Supplier Quality Manager | China	Umdasch Group	job has expired		j_2c8459dd281a
2026-06-06	https://jobs.lever.co/popsockets/c6ca250f-b7e8-4a58-aa94-d69be589382c	Project Coordinator	PopSockets	HTTP 404 during direct link check		j_88766f751913
2026-06-06	https://job-boards.greenhouse.io/flexport/jobs/6983084	Product Data Analyst	Flexport	redirected to careers list / no usable application path during direct check		j_3a51db17f694
2026-06-06	https://job-boards.greenhouse.io/flexport/jobs/7436324	Operations Associate	Flexport	redirected to careers list / no usable application path during direct check		j_7b9fe3b4f4c4
2026-06-06	https://jobs.smartrecruiters.com/RenesasElectronics/744000117606947-supply-chain-managment-specialist-scm-	Supply Chain Management Specialist（SCM）	Renesas Electronics	page shows job has expired during finalist review		j_46484130f684
2026-06-06	https://apply.workable.com/hospitable/j/21353CF73D	Customer Support Advocate (APAC - Remote)	Hospitable	direct page redirects to not found during finalist review		j_70ae773d724e
2026-06-06	https://job-boards.greenhouse.io/ideo/jobs/7540797	Office & Operations Coordinator (Contractor)	IDEO	direct page redirects to careers list during finalist review		j_45089dd3cb64
2026-06-06	https://careers.marriott.com/marketing-communications-manager-%E5%B8%82%E5%9C%BA%E4%BC%A0%E8%AE%AF%E7%BB%8F%E7%90%86/job/CAEE56CE9118969322B38D6EB6E51FC4	Marketing & Communications Manager 市场传讯经理	Marriott International	link_check_http_404		j_dfc6e682db92
2026-06-06	https://careers.marriott.com/dir-marketing-communications/job/56C2FD02F72A709809E68FF1BE3CA2AC	Dir-Marketing Communications	Marriott International	link_check_http_404		j_ca7a3575117d
2026-06-06	https://careers.marriott.com/executive-communications/job/4DC6EDDCC25A3D15D676CCFDEEABCFA2	Executive, Communications	Marriott International	link_check_http_404		j_73d451627767
2026-06-06	https://jobs.smartrecruiters.com/HMGroup/744000106437850-head-of-merchandising-china	Head of Merchandising, China	H&M Group	link_check_possible_expired_marker		j_6641bcabdab8
2026-06-07	https://job-boards.greenhouse.io/meshy/jobs/4966566008	Customer Support Specialist	Meshy	link_check_http_404		j_ff01627483d4
2026-06-07	https://www.oocllogistics.com/eng/careers/china/Pages/Customer-Service-Coordinator.aspx	Customer Service Coordinator	OOCL Logistics	link_check_possible_sign_in_marker		j_b0902bc2d5d0
2026-06-07	https://jobs.smartrecruiters.com/MomentusTechnologies/744000109291820-technical-support-specialist	Technical Support Specialist	Momentus Technologies	link_check_http_400		j_347f3ac696aa
2026-06-07	https://www.3ds.com/careers/jobs/Marketing-Specialist-Greater-China-547704	Marketing Specialist, Greater China	Medidata / Dassault Systèmes	redirected_to_generic_jobs_page		j_50eeb6d8fd13
2026-06-07	https://jobs.smartrecruiters.com/SyngentaGroup/744000096786615-legal-operations-billing-specialist	Legal Operations Billing Specialist	Syngenta Group	link_check_possible_expired_marker		j_3f79b44c1267
2026-06-07	https://careersatagoda.com/job/4835743-marketing-specialist-china-marketing-china-based	Marketing Specialist, China Marketing ( China based )	Agoda	redirected_to_closed_jobs		j_827aa5878c45
2026-06-10	https://job-boards.greenhouse.io/precisionmedicinegroup/jobs/5832084004	Senior Clinical Data Manager	Precision Medicine Group	link_check_possible_captcha_marker		j_cc7d1d9b223e
2026-06-15	https://job-boards.greenhouse.io/remotecom/jobs/7728848003	Benefits Operations Specialist - APAC	Remote	captcha risk in public job page check		j_3ff6a7c8c638
2026-06-16	https://www.mongodb.com/careers/job?gh_jid=7380221	Sales Development Representative	MongoDB	link_check_failed_company_tokens_not_found		j_73111dca378a
2026-06-20	https://jobs.smartrecruiters.com/Wabtec/3743990013486536	Supply Chain Specialist	Wabtec	link_check_possible_bad_page_marker_sign_in		j_a1f34525ed81
2026-06-22	https://job-boards.greenhouse.io/canonical/jobs/7561124	Silicon Alliances Ecosystem Development Manager - Shanghai or Beijing	Canonical	link_check_possible_bad_page_marker_captcha		j_7d642143de26
2026-06-23	https://job-boards.greenhouse.io/remotecom/jobs/7778888003	Engineering Team Leader	Remote	link_check captcha marker on finalist verification		j_6f893425061b
2026-06-23	https://job-boards.greenhouse.io/canonical/jobs/6874537	Graduate HR Generalist	Canonical	redirected to canonical board error page instead of specific job detail		j_185feb75e877
2026-06-24	https://job-boards.greenhouse.io/canonical/jobs/7548330	Customer Success - Team Manager	Canonical	link_check captcha marker on finalist verification		j_74e5b8f64aa4
2026-06-26	https://job-boards.greenhouse.io/canonical/jobs/6103331	Graduate Customer Success Manager	Canonical	link_check ok_basic false: captcha marker		j_86859a7b123f
2026-06-26	https://job-boards.greenhouse.io/remotecom/jobs/7768137003	Manager, Mobility - APAC	Remote	link_check ok_basic false: captcha marker		j_c79f95e907d8
2026-06-27	https://jobs.smartrecruiters.com/Aumovio/744000134167099	AI Engineer Intern (AI Agent Development & Database)	Aumovio	link_check_login_marker		j_3441f961c4db
2026-07-01	https://jobs.ashbyhq.com/ashby/033ce772-ed08-4a59-bb52-4ff0eaac9bcd	Product Support Specialist - APAC	Ashby	link_check captcha marker on finalist verification		j_0d8d147a0077
2026-07-01	https://jobs.ashbyhq.com/ashby/cf34cf62-5348-4bd5-bd8c-22a77467162d	Product Support Engineer - APAC	Ashby	link_check captcha marker on finalist verification		j_ee5d26b1565b
2026-07-01	https://jobs.ashbyhq.com/drata/cd344653-5f55-4bdc-ba1a-921f026ad162	Associate Technical Support Engineer - AUS	Drata	link_check captcha marker on finalist verification		j_1e63a7e62643
2026-07-01	https://jobs.ashbyhq.com/primer.io/767e0eeb-ffac-457e-9017-994253a0f372	Account Executive - APAC	Primer.io	link_check captcha marker on finalist verification		j_48480d4c7b0f
2026-07-01	https://job-boards.greenhouse.io/canonical/jobs/7569126	Dedicated Linux Desktop & Devices Support Engineer, Singapore	Canonical	link_check captcha marker on finalist verification		j_b9843d6bf707
2026-07-01	https://job-boards.greenhouse.io/canonical/jobs/5143011	Developer Relations Engineer	Canonical	link_check captcha marker on finalist verification		j_6909786ee1eb
2026-07-01	https://job-boards.greenhouse.io/canonical/jobs/3798310	Technical Author (multiple roles and seniority levels)	Canonical	link_check captcha marker on finalist verification		j_3e6fe65ddbc0
2026-07-02	https://jobs.workable.com/view/efrNVkVSMo5VoJ6J7s7baH/customer-success---singapore-clients---remote-in-philippines-at-sleek	Customer Success - Singapore Clients - Remote	Sleek	link_check HTTP 410 on finalist verification		j_21726214a811
2026-07-02	https://jobs.ashbyhq.com/zapier/199b18f2-76fd-412c-8569-1d892c7d89e8	Support Engineer, IT Systems	Zapier	link_check captcha marker on finalist verification		j_d49f1b3e727f
2026-07-02	https://jobs.workable.com/view/vWduDbJoa5i1kTqRgKvkp7/remote-l1-pre-sales-support-%28plg%29-in-india-at-wati.io	L1 Pre-Sales Support (PLG)	WATI.io	final page indicates hybrid role, not all-remote		j_fe175e3ba63e
2026-07-02	https://job-boards.greenhouse.io/canonical/jobs/5798264	Business Services Team Manager	Canonical	link_check captcha marker on finalist verification		j_6b6811e157d2
2026-07-02	https://job-boards.greenhouse.io/canonical/jobs/3256589	Enterprise Project Manager	Canonical	link_check captcha marker on finalist verification		j_76c3b4937bdb
2026-07-02	https://remotive.com/remote-jobs/product/senior-product-manager-2090984	Senior Product Manager	Lemon.io	link_check HTTP 403 on finalist verification		j_6fa49c51b002
2026-07-02	https://remotive.com/remote-jobs/software-development/frontend-developer-2090991	Frontend Developer	Quinncia Inc	link_check HTTP 403 on finalist verification		j_dfe7e51fcdcc
2026-07-02	https://remotive.com/remote-jobs/writing/copywriter-1749306	Copywriter	Coalition Technologies	link_check HTTP 403 on finalist verification		j_50db18bc4b69
2026-07-02	https://remotive.com/remote-jobs/marketing/office-assistant-1680495	Office Assistant	Coalition Technologies	link_check HTTP 403 on finalist verification		j_66d3ce1b8b8b
2026-07-02	https://job-boards.greenhouse.io/globalizationpartners/jobs/7742755003	Sr HR Associate - 9 month fixed term	G-P	final URL redirected to jobs list instead of specific role		j_e2b490cf714b
2026-07-03	https://jobs.ashbyhq.com/ashby/893cd08a-929c-4077-b39c-64bc34f347ea	Customer Success Manager, APAC	Ashby	link_check captcha marker on finalist verification		j_749f35c6a6f0
2026-07-03	https://jobs.workable.com/view/8quwx4CqcjXprFzkJFqAtB/remote-success-manager-%283997%29-in-shanghai-at-gbg	Success Manager (3997)	GBG	HTTP 410 on finalist verification		j_98a847b52962
2026-07-03	https://jobs.workable.com/view/rB23Uguo6XgJrtfvxx8oVK/remote-business-development-manager---china-in-beijing-at-cequens	Business Development Manager - China	CEQUENS	HTTP 410 on finalist verification		j_1d9b7a3944c8
2026-07-03	https://job-boards.greenhouse.io/globalizationpartners/jobs/7732874003	Sr Partner Manager	G-P	final URL redirected to jobs list instead of specific role		j_2ccebf7a18d5
2026-07-04	https://jobs.ashbyhq.com/heron-power/53719004-402e-452a-9c79-524713b7972b	China (preferably based in Shanghai or Shenzhen)	Heron Power	link_check did not show selected title/company on specific job page		j_34058b9bcef7
2026-07-04	https://jobs.workable.com/view/nmW4LRyPrgE2TLP9Tj8fev/chinese-all-dialects-to-english-remote-telephone-video-interpreter-required-in-china-at-recruitment-empire	Chinese All Dialects to English Remote Telephone Video Interpreter Required	Recruitment Empire	HTTP 410 on finalist verification		j_1d6d9314f305
2026-07-04	https://job-boards.greenhouse.io/precisionmedicinegroup/jobs/5903353004	Start Up Lead APAC	Precision Medicine Group	duplicate and link_check captcha marker on finalist verification		j_7b0aaf13e184
2026-07-04	https://job-boards.greenhouse.io/pfm/jobs/6103596004	Contracts Manager APAC	Precision for Medicine	link_check captcha marker on finalist verification		j_d90a21357d30
2026-07-04	https://jobs.lever.co/xsolla	Product Owner – Corporate website (xsolla.com)	Xsolla	company jobs list URL, not a specific job detail page		j_c906ae5e5a8d
2026-07-05	https://jobs.workable.com/view/vrXPdUuLgFs9yY3djCazN5/remote-content-moderator-%28chinese-speaker%29-in-china-at-staff4me	Content Moderator (Chinese Speaker)	Staff4Me	HTTP 410 on finalist verification		j_6aa8c5ffb90d
2026-07-05	https://jobs.ashbyhq.com/heron-power/53719004-402e-452a-9c79-524713b7972b/application	Supplier Industrialization Engineer - China	Heron Power	link_check did not show selected title/company on specific job page		j_9175f7388c2b
2026-07-05	https://jobs.ashbyhq.com/lilt-production/0618cc34-164c-4d0d-9b47-7ba1d4bc2ae3	Linguist - Traditional Chinese (Taiwan) - UI Technical/Localization - Remote	LILT (Production)	link_check captcha marker on finalist verification		j_64de919f51c0
2026-07-05	https://jobs.ashbyhq.com/lilt-production/68267d7e-e53c-4fbf-a87b-a523cb32e422	Subject Matter Expert – Manufacturing & Industrial Operations (English/Mandarin) – Remote	LILT (Production)	link_check captcha marker on finalist verification		j_85839672ebd8
2026-07-05	https://job-boards.greenhouse.io/iherb/jobs/7733932003	Growth Marketing Specialist- APAC	iHerb	link_check captcha marker on finalist verification		j_c59678527e20
2026-07-05	https://jobs.flashpointvc.com/companies/ideals-2/jobs/80236552-senior-talent-acquisition-specialist-china-remote	Senior GTM Talent Acquisition Specialist	Ideals	page indicated job is no longer accepting applications		j_f5916d750158
2026-07-05	https://jobs.lever.co/applike	Senior Supply Growth Manager - SEA + Greater China Region (f/m/d)	applike group	company jobs list URL, not a specific job detail page		j_4fb8ccb10cd5
2026-07-06	https://jobs.workable.com/view/s7nDKHD3mqbgnFsGwaE2UY/remote-talent-pool---legal-intern-in-china-at-slasify	Talent Pool - Legal Intern	Slasify	HTTP 410 during finalist verification		j_9480dec2260f
